,Predicted_WindowFloatGlassType,NonWindowFloatGlassTypeProbability,WindowFloatGlassTypeProbability
1,1,0.163381857612779,0.836618142387221
2,0,0.603874801990035,0.396125198009965
3,0,0.753174207240766,0.246825792759234
4,0,0.658249979715074,0.341750020284926
5,1,0.384414073414051,0.615585926585949
6,0,0.740923349630619,0.259076650369381
7,1,0.302166879182517,0.697833120817483
8,1,0.216771707109731,0.783228292890269
9,0,0.669558017133755,0.330441982866245
10,1,0.363883696764174,0.636116303235826
11,0,0.726065801366378,0.273934198633622
12,1,0.244283211146526,0.755716788853474
13,0,0.640482409056692,0.359517590943308
14,1,0.364162177112242,0.635837822887758
15,1,0.227445436275042,0.772554563724958
16,1,0.319598995060908,0.680401004939092
17,1,0.142853331276362,0.857146668723638
18,0,0.543965880869007,0.456034119130993
19,0,0.545057630410354,0.454942369589646
20,0,0.603025308856312,0.396974691143688
21,0,0.705490832082825,0.294509167917175
22,1,0.246401071286322,0.753598928713678
23,1,0.425658612573829,0.574341387426171
24,1,0.277308666052411,0.722691333947589
25,1,0.494521504322831,0.505478495677169
26,1,0.285998595397435,0.714001404602565
27,0,0.659446830558534,0.340553169441466
28,0,0.54424173509655,0.45575826490345
29,1,0.419644673841728,0.580355326158272
30,1,0.48057995682842,0.51942004317158
31,1,0.29084867304769,0.70915132695231
32,1,0.247850138534053,0.752149861465947
33,1,0.4342717704657,0.5657282295343
34,1,0.238755298256293,0.761244701743707
35,1,0.361790377800262,0.638209622199738
36,0,0.613572592357724,0.386427407642276
37,0,0.668701780847735,0.331298219152265
38,1,0.382939736662036,0.617060263337964
39,1,0.120624745934129,0.879375254065871
40,1,0.120624745934129,0.879375254065871
41,1,0.256291957670061,0.743708042329939
42,1,0.37405536726458,0.62594463273542
43,0,0.547323867168293,0.452676132831707
44,1,0.132688592949865,0.867311407050135
45,0,0.536255013699601,0.463744986300399
46,0,0.721988224332617,0.278011775667383
47,1,0.480226789068456,0.519773210931544
48,1,0.201964191406854,0.798035808593146
49,1,0.112666783772511,0.887333216227489
50,0,0.766508269903003,0.233491730096997
51,1,0.148197268931751,0.851802731068249
52,0,0.55132646787053,0.44867353212947
53,0,0.69890265111651,0.30109734888349
54,0,0.814859743106456,0.185140256893544
55,0,0.799516785791198,0.200483214208802
56,0,0.649147375913977,0.350852624086023
57,0,0.854797366563809,0.145202633436191
58,0,0.568889812518804,0.431110187481196
59,1,0.216607011538059,0.783392988461941
60,1,0.402976144914717,0.597023855085283
61,1,0.394634139219869,0.605365860780131
62,0,0.607419589555379,0.392580410444621
63,1,0.26794641132367,0.73205358867633
64,1,0.428458281513552,0.571541718486448
65,1,0.203682114448386,0.796317885551614
66,0,0.508843245167699,0.491156754832301
67,1,0.206834005749843,0.793165994250157
68,1,0.137539784479838,0.862460215520162
69,1,0.242057915775195,0.757942084224805
70,1,0.128969442140025,0.871030557859975
71,0,0.994160267108834,0.00583973289116605
72,0,0.783152864843527,0.216847135156473
73,0,0.598959271655111,0.401040728344889
74,0,0.675186491748108,0.324813508251892
75,0,0.5599845031352,0.4400154968648
76,0,0.510116999656673,0.489883000343327
77,0,0.850812504889889,0.149187495110111
78,0,0.789208583296246,0.210791416703754
79,0,0.66773000904792,0.33226999095208
80,0,0.829540287905298,0.170459712094702
81,0,0.895376134085142,0.104623865914858
82,0,0.662674421450548,0.337325578549452
83,0,0.568662599602668,0.431337400397332
84,0,0.737512341815836,0.262487658184164
85,0,0.995837336706729,0.00416266329327057
86,0,0.707893978925732,0.292106021074268
87,0,0.600899379316121,0.399100620683879
88,0,0.771526574313684,0.228473425686316
89,0,0.789184508335089,0.210815491664911
90,0,0.673867641633589,0.326132358366411
91,1,0.494624174295635,0.505375825704365
92,0,0.795349313500571,0.204650686499429
93,0,0.743342066161078,0.256657933838922
94,0,0.762933510940388,0.237066489059612
95,0,0.646314184074797,0.353685815925203
96,0,0.86308742052392,0.13691257947608
97,1,0.385889759948965,0.614110240051035
98,1,0.38171738159932,0.61828261840068
99,0,0.87176261663009,0.12823738336991
100,0,0.741338892072785,0.258661107927215
101,0,0.806050990296725,0.193949009703275
102,0,0.957850369499509,0.0421496305004914
103,1,0.351092337984742,0.648907662015258
104,1,0.452523263785221,0.547476736214779
105,0,0.825943912967058,0.174056087032942
106,0,0.999996518957029,3.48104297084901e-06
107,0,0.999878119476066,0.000121880523933794
108,0,0.999596923121686,0.000403076878314312
109,0,0.999996346545294,3.65345470562717e-06
110,0,0.998638163534438,0.00136183646556218
111,0,0.908188647004424,0.0918113529955757
112,0,0.912008591661421,0.0879914083385794
113,0,0.995595985548058,0.00440401445194204
114,1,0.359577675760654,0.640422324239346
115,1,0.324548805003032,0.675451194996968
116,1,0.459127557383357,0.540872442616643
117,0,0.553861142160964,0.446138857839036
118,0,0.906569993981721,0.0934300060182787
119,0,0.827794008554118,0.172205991445882
120,0,0.855406568790942,0.144593431209058
121,0,0.537589233118522,0.462410766881478
122,0,0.745724708405421,0.254275291594579
123,0,0.688007544623656,0.311992455376344
124,0,0.851270502433949,0.148729497566051
125,1,0.189609854973169,0.810390145026831
126,0,0.592914713892468,0.407085286107533
127,0,0.532668420749077,0.467331579250923
128,0,0.986410079358437,0.0135899206415625
129,0,0.991595836377229,0.00840416362277097
130,0,0.999991313283295,8.68671670505844e-06
131,0,0.999749772363929,0.000250227636071146
132,0,0.999995863716665,4.13628333452869e-06
133,1,0.318151253003839,0.681848746996161
134,0,0.8055123250719,0.1944876749281
135,1,0.311332567574094,0.688667432425906
136,0,0.564915278548172,0.435084721451828
137,1,0.153912287444568,0.846087712555432
138,0,0.587330757902517,0.412669242097483
139,0,0.51929137472529,0.48070862527471
140,0,0.549267293554447,0.450732706445553
141,0,0.765557876241744,0.234442123758256
142,1,0.325272078346434,0.674727921653566
143,0,0.593962299274727,0.406037700725273
144,0,0.77672318791603,0.22327681208397
145,0,0.700156851846686,0.299843148153314
146,0,0.58076375551232,0.41923624448768
147,1,0.396264240050661,0.603735759949339
148,0,0.696218572110264,0.303781427889736
149,0,0.561909707235362,0.438090292764638
150,0,0.921985488322621,0.0780145116773788
151,0,0.868529312495079,0.131470687504921
152,1,0.261637781401106,0.738362218598894
153,1,0.13653511789909,0.86346488210091
154,0,0.787814037194343,0.212185962805657
155,0,0.537363556626705,0.462636443373295
156,0,0.53527384096303,0.46472615903697
