,Predicted_Survival
1,0.364261786656773
2,0.0155786507996843
3,0.192957380899799
4,0.490130931833168
5,0.162680769465071
6,0.195756672730392
7,0.497241411396084
8,0.19859657474504
9,0.19859657474504
10,0.149153220417844
11,0.144460194763089
12,0.0680933232417703
13,0.298619262147093
14,0.204400574450911
15,0.204400574450911
16,0.274387877282936
17,0.148682054727147
18,0.207365876195581
19,0.52672994241625
20,0.136098131392384
21,0.062201754581341
22,0.38314613515711
23,0.213426159390254
24,0.213426159390254
25,0.232259310186654
26,0.0640196054972406
27,0.216522398060317
28,0.120794153208393
29,0.219663554813194
30,0.064948357524401
31,0.325573383277629
32,0.130032932224117
33,0.130032932224117
34,0.330296576077085
35,0.0496547426264936
36,0.138896714738899
37,0.0182848562636624
38,0.0147325785811926
39,0.0223743140125128
40,0.556576154241938
41,0.046913788334492
42,0.135774712930229
43,0.363122406296904
44,0.236066251001449
45,0.225519571686285
46,0.286168983051905
47,0.0569752937409986
48,0.239490936415532
49,0.608330789335796
50,0.0319234252493968
51,0.242965304789952
52,0.617156030437978
53,0.246490076890634
54,0.0678832170327913
55,0.268240853839252
56,0.250065983939873
57,0.0504169302996904
58,0.116770325567369
59,0.253693767768032
60,0.0511483441510466
61,0.644407393055275
62,0.257374180967434
63,0.257374180967434
64,0.653756008498446
65,0.261107987048488
66,0.261107987048488
67,0.66324024716948
68,0.113488041817285
69,0.0127154071709065
70,0.337983501011659
71,0.268738887440278
72,0.268738887440278
73,0.682623492849501
74,0.272637564799322
75,0.272637564799322
76,0.404088581994291
77,0.276592801465039
78,0.276592801465039
79,0.222427012638143
80,0.280605417960618
81,0.280605417960618
82,0.712765660173906
83,0.121962410141661
84,0.0423537833605166
85,0.363221373031218
86,0.037946491914198
87,0.186838384117119
88,0.0116106417786669
89,0.292995931250743
90,0.0335270482385739
91,0.204962911038093
92,0.149309079249819
93,0.0818615086133958
94,0.721303134396586
95,0.0830490985943178
96,0.143916268194614
97,0.636564340934407
98,0.305933564481419
99,0.116970654407548
100,0.297117091735808
101,0.310371836413613
102,0.0854762146935412
103,0.0506393640609585
104,0.106417997436191
105,0.31487449571624
106,0.517425577423846
107,0.319442476476605
108,0.319442476476605
109,0.811415650090514
110,0.324076726333106
111,0.324076726333106
112,0.823187105475752
113,0.24789039720867
114,0.212697661210648
115,0.229994109603079
116,0.159182801151849
117,0.105597622787521
118,0.323935623209691
119,0.144973340865549
120,0.0931915115168738
121,0.204485061784377
122,0.222089615283249
123,0.343295854865776
124,0.240149811842896
125,0.348276152989233
126,0.0579020135642473
127,0.543498140354599
128,0.35332870182311
129,0.293628739623312
130,0.897490031531336
131,0.257013159196145
132,0.0987181645976497
133,0.119632735845828
134,0.363654759480902
135,0.363654759480902
136,0.0745776061111801
137,0.158058997036193
138,0.10908238383558
139,0.546808604790289
140,0.374282596943737
141,0.374282596943737
142,0.502437958186858
143,0.128331245844388
144,0.272255132901165
145,0.921416243471903
146,0.224776115529135
147,0.385221033748919
148,0.978499725445282
149,0.390809553284775
150,0.132081736073594
