,Predicted_Species,NonVersicolorProbability,VersicolorProbability
1,0,0.930981609138821,0.0690183908611788
2,0,0.735619975861074,0.264380024138926
3,0,0.840420468413992,0.159579531586008
4,0,0.749294838579109,0.250705161420891
5,0,0.948498640681956,0.0515013593180443
6,0,0.9883305752069,0.0116694247930997
7,0,0.916622824414134,0.0833771755858664
8,0,0.890812805878111,0.109187194121889
9,0,0.648999506560094,0.351000493439906
10,0,0.717490691090837,0.282509308909163
11,0,0.96322898583732,0.0367710141626799
12,0,0.869897929700791,0.130102070299208
13,0,0.679533708071726,0.320466291928274
14,0,0.725082717047644,0.274917282952356
15,0,0.994810638424053,0.00518936157594728
16,0,0.999482826668585,0.000517173331415366
17,0,0.994681217481668,0.00531878251833178
18,0,0.948447922020394,0.0515520779796064
19,0,0.977624524597713,0.0223754754022868
20,0,0.97983271293752,0.0201672870624804
21,0,0.87579630588937,0.12420369411063
22,0,0.978982175281195,0.021017824718805
23,0,0.967870233692897,0.032129766307103
24,0,0.916330110470048,0.0836698895299517
25,0,0.81885273203369,0.18114726796631
26,0,0.692618881573478,0.307381118426522
27,0,0.926876749442114,0.073123250557886
28,0,0.923377785668403,0.076622214331597
29,0,0.909195246619271,0.0908047533807288
30,0,0.782681174504965,0.217318825495035
31,0,0.736944709735127,0.263055290264873
32,0,0.944216513650528,0.0557834863494722
33,0,0.988250646360969,0.011749353639031
34,0,0.996508676047441,0.003491323952559
35,0,0.764929301510493,0.235070698489507
36,0,0.868173757028096,0.131826242971904
37,0,0.9475354419833,0.0524645580166999
38,0,0.92880692453742,0.0711930754625803
39,0,0.731791840252549,0.268208159747451
40,0,0.89389676198768,0.10610323801232
41,0,0.95400226639161,0.0459977336083896
42,1,0.357127473028963,0.642872526971037
43,0,0.827979467610841,0.172020532389159
44,0,0.971971638616034,0.028028361383966
45,0,0.971972572360371,0.028027427639629
46,0,0.77639866019371,0.22360133980629
47,0,0.966511218238993,0.0334887817610068
48,0,0.818032587403214,0.181967412596786
49,0,0.961868514599582,0.0381314854004177
50,0,0.872546872442431,0.127453127557569
51,0,0.759867522712112,0.240132477287888
52,0,0.814884408214949,0.185115591785051
53,0,0.701530377710267,0.298469622289733
54,1,0.252940330092755,0.747059669907245
55,0,0.573434275582343,0.426565724417657
56,1,0.43242545404592,0.56757454595408
57,0,0.852436520922792,0.147563479077208
58,1,0.294487728160427,0.705512271839573
59,0,0.528729501362831,0.471270498637169
60,0,0.563235856894379,0.436764143105621
61,1,0.0929388024463692,0.907061197553631
62,0,0.757937536194486,0.242062463805514
63,1,0.117713783233893,0.882286216766107
64,0,0.525511771141418,0.474488228858582
65,0,0.732978085386142,0.267021914613858
66,0,0.760161516855594,0.239838483144406
67,0,0.668146113536178,0.331853886463822
68,1,0.318633718950901,0.681366281049099
69,1,0.218542446558751,0.781457553441249
70,1,0.293670624267269,0.706329375732731
71,0,0.850452514414418,0.149547485585582
72,0,0.600488481134256,0.399511518865744
73,1,0.289428562626183,0.710571437373817
74,1,0.346907117972095,0.653092882027905
75,0,0.600123176629809,0.399876823370192
76,0,0.700617921091173,0.299382078908827
77,1,0.478062797033157,0.521937202966843
78,0,0.710060137839925,0.289939862160075
79,0,0.632111344763633,0.367888655236367
80,1,0.412019885878513,0.587980114121487
81,1,0.257297081440513,0.742702918559487
82,1,0.233640263953868,0.766359736046132
83,1,0.486215375565838,0.513784624434162
84,1,0.39223920156093,0.60776079843907
85,0,0.655967356943767,0.344032643056233
86,0,0.903920746432067,0.0960792535679334
87,0,0.738510730255397,0.261489269744603
88,1,0.206525202932141,0.793474797067859
89,0,0.665547426516532,0.334452573483468
90,1,0.367946895585812,0.632053104414188
91,1,0.272025056952279,0.727974943047721
92,0,0.617763696328568,0.382236303671432
93,1,0.393510766944001,0.606489233055999
94,1,0.245837480572087,0.754162519427913
95,1,0.445934763981453,0.554065236018547
96,0,0.589332594060097,0.410667405939903
97,0,0.582654675828347,0.417345324171653
98,0,0.587199999071489,0.412800000928511
99,0,0.507473417972037,0.492526582027963
100,0,0.546308625050476,0.453691374949524
101,0,0.924681940475853,0.0753180595241473
102,0,0.55319272369266,0.44680727630734
103,0,0.713234049993422,0.286765950006578
104,0,0.515942087176502,0.484057912823498
105,0,0.752186276138118,0.247813723861882
106,0,0.557526873337512,0.442473126662488
107,1,0.417596995781904,0.582403004218096
108,1,0.384039067206734,0.615960932793266
109,1,0.244279196222995,0.755720803777005
110,0,0.977653731169363,0.0223462688306365
111,0,0.888219543760602,0.111780456239398
112,0,0.536020798372384,0.463979201627616
113,0,0.78797763644622,0.21202236355378
114,0,0.503025938841187,0.496974061158813
115,0,0.848951197751855,0.151048802248145
116,0,0.932897099500017,0.0671029004999827
117,0,0.621304930606331,0.378695069393669
118,0,0.939242897137659,0.0607571028623413
119,1,0.338780374235384,0.661219625764616
120,1,0.121278058982877,0.878721941017123
121,0,0.902248840790443,0.0977511592095569
122,0,0.710387181011934,0.289612818988066
123,1,0.350085254652786,0.649914745347214
124,0,0.584512795814323,0.415487204185677
125,0,0.871066670347151,0.128933329652849
126,0,0.653694024408731,0.346305975591269
127,0,0.667279599805143,0.332720400194857
128,0,0.749236357765659,0.250763642234341
129,0,0.630501906189836,0.369498093810164
130,1,0.466895261849889,0.533104738150111
131,1,0.439554667509037,0.560445332490963
132,0,0.93357822089694,0.0664217791030599
133,0,0.684396516078232,0.315603483921768
134,1,0.418250183926853,0.581749816073147
135,1,0.141706528548291,0.858293471451709
136,0,0.791957166502785,0.208042833497215
137,0,0.959155591072554,0.0408444089274459
138,0,0.675889754553566,0.324110245446434
139,0,0.766407070235123,0.233592929764877
140,0,0.853532122301739,0.146467877698261
141,0,0.905854443836085,0.0941455561639145
142,0,0.940655721878238,0.0593442781217619
143,0,0.55319272369266,0.44680727630734
144,0,0.871716368152953,0.128283631847047
145,0,0.957177417074491,0.0428225829255093
146,0,0.901711189749133,0.0982888102508674
147,1,0.484322613399118,0.515677386600882
148,0,0.79318106038941,0.206818939610589
149,0,0.957350711390709,0.0426492886092911
150,0,0.689876177536149,0.310123822463851
