,Predicted_WindowFloatGlassType,NonWindowFloatGlassTypeProbability,WindowFloatGlassTypeProbability
1,1,0.184636169747263,0.815363830252737
2,0,0.578849617295686,0.421150382704314
3,0,0.75741444038321,0.24258555961679
4,0,0.666726498323303,0.333273501676697
5,1,0.395644867339012,0.604355132660988
6,0,0.840620998252955,0.159379001747045
7,1,0.292598204942711,0.707401795057289
8,1,0.221049961942566,0.778950038057434
9,0,0.591052428858121,0.408947571141879
10,1,0.408359965253954,0.591640034746046
11,0,0.821252911169587,0.178747088830414
12,1,0.244997829178984,0.755002170821016
13,0,0.741105092536083,0.258894907463917
14,1,0.463059784063989,0.536940215936011
15,1,0.257196983545813,0.742803016454187
16,1,0.347113094894859,0.652886905105141
17,1,0.143782405391952,0.856217594608048
18,1,0.441272713334396,0.558727286665604
19,1,0.469482405979877,0.530517594020123
20,0,0.616321012723315,0.383678987276685
21,0,0.784635485535387,0.215364514464613
22,1,0.128834810245478,0.871165189754522
23,1,0.407871181329898,0.592128818670102
24,1,0.265962522311471,0.734037477688529
25,1,0.443243359111007,0.556756640888993
26,1,0.264775234559141,0.735224765440859
27,0,0.637979882807983,0.362020117192017
28,0,0.554107944404263,0.445892055595737
29,1,0.463153855367982,0.536846144632018
30,1,0.462810414008855,0.537189585991145
31,1,0.349064755529405,0.650935244470595
32,1,0.248812868717066,0.751187131282934
33,0,0.529826778684395,0.470173221315605
34,1,0.28278705642511,0.71721294357489
35,1,0.36127158298208,0.63872841701792
36,0,0.505004259833585,0.494995740166415
37,0,0.543994841689228,0.456005158310772
38,1,0.379268211130718,0.620731788869282
39,1,0.0659056073580049,0.934094392641995
40,1,0.0659056073580049,0.934094392641995
41,1,0.239052321447635,0.760947678552365
42,1,0.380111782227818,0.619888217772182
43,1,0.495146003641152,0.504853996358848
44,1,0.083853797296751,0.916146202703249
45,0,0.659338155223568,0.340661844776432
46,0,0.624209346371507,0.375790653628493
47,1,0.497171879150442,0.502828120849558
48,1,0.232932171525525,0.767067828474475
49,1,0.0840741856502456,0.915925814349754
50,0,0.674272176980809,0.325727823019191
51,1,0.130615659730144,0.869384340269856
52,0,0.508914006866653,0.491085993133347
53,0,0.577005379183432,0.422994620816568
54,0,0.753022391741251,0.246977608258749
55,0,0.754814534277569,0.245185465722431
56,0,0.733279793769102,0.266720206230898
57,0,0.858788068014335,0.141211931985665
58,0,0.603552502106551,0.396447497893449
59,1,0.203577501669226,0.796422498330774
60,1,0.41848615318684,0.58151384681316
61,1,0.367276156987074,0.632723843012926
62,0,0.562922313952258,0.437077686047742
63,1,0.256035045679635,0.743964954320365
64,1,0.310957198537276,0.689042801462724
65,1,0.179679244456496,0.820320755543504
66,1,0.437207850906461,0.562792149093539
67,1,0.228690067360169,0.771309932639831
68,1,0.152596544205921,0.847403455794079
69,1,0.252671115624364,0.747328884375636
70,1,0.0964263155116482,0.903573684488352
71,0,0.992401382891954,0.00759861710804558
72,0,0.85311682126845,0.14688317873155
73,0,0.609112761590491,0.390887238409509
74,0,0.661485335519571,0.338514664480429
75,0,0.561774515450038,0.438225484549962
76,0,0.505371337056995,0.494628662943005
77,0,0.822743523237367,0.177256476762633
78,0,0.801076700999068,0.198923299000932
79,0,0.662652298159371,0.33734770184063
80,0,0.841970037172163,0.158029962827837
81,0,0.900138852613717,0.0998611473862826
82,0,0.658409058079607,0.341590941920393
83,0,0.514180528836934,0.485819471163066
84,0,0.752987443923244,0.247012556076755
85,0,0.987540594546483,0.0124594054535168
86,0,0.672503600742198,0.327496399257802
87,0,0.596171900052935,0.403828099947065
88,0,0.765205561959049,0.234794438040951
89,0,0.791825474413603,0.208174525586397
90,0,0.758899267828615,0.241100732171385
91,0,0.54444154751195,0.45555845248805
92,0,0.807841362118545,0.192158637881455
93,0,0.812816094401093,0.187183905598907
94,0,0.743679508383297,0.256320491616703
95,0,0.661045013253209,0.338954986746791
96,0,0.84431948308473,0.15568051691527
97,1,0.365020556907871,0.634979443092129
98,0,0.520660915634629,0.479339084365371
99,0,0.862732467662986,0.137267532337014
100,0,0.705500584026161,0.294499415973839
101,0,0.836977241117077,0.163022758882923
102,0,0.945876106444186,0.0541238935558139
103,1,0.40041188834011,0.59958811165989
104,1,0.242202073914403,0.757797926085597
105,0,0.663526234423284,0.336473765576716
106,0,0.999977627605478,2.23723945216477e-05
107,0,0.999886315169857,0.00011368483014316
108,0,0.990900545994251,0.00909945400574877
109,0,0.999754464143394,0.000245535856606262
110,0,0.982656115658706,0.0173438843412942
111,0,0.697464750077799,0.302535249922201
112,0,0.715415656494858,0.284584343505142
113,0,0.933018339120962,0.0669816608790382
114,1,0.421562047159039,0.578437952840961
115,1,0.331983380498924,0.668016619501076
116,1,0.455664091210397,0.544335908789603
117,0,0.603369958068068,0.396630041931932
118,0,0.884353840843155,0.115646159156845
119,0,0.889785563319546,0.110214436680454
120,0,0.827938272889362,0.172061727110638
